               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070787,            0.024232,            0.016684,             0.46912,              0.5856,             0.49429,             0.25137,            0.042987,           0.0094299,           0.0044234,            0.070082,           0.0033243,           0.0033243
                   1,            0.050063,            0.019775,           0.0036362,              0.6636,             0.72995,             0.75509,             0.42895,            0.035407,           0.0070622,           0.0017953,             0.03995,           0.0065258,           0.0065258
                   2,            0.045688,            0.018403,           0.0026533,             0.63554,             0.68004,             0.68072,             0.37203,            0.037356,           0.0070702,           0.0026073,           0.0096861,           0.0095953,           0.0095953
                   3,            0.043217,            0.018155,           0.0025329,             0.72565,             0.77194,             0.78496,             0.43096,              0.0312,           0.0066422,           0.0010288,            0.009406,            0.009406,            0.009406
                   4,            0.039291,            0.017642,           0.0020145,             0.79153,             0.81268,             0.81342,             0.48278,            0.029444,           0.0065026,          0.00076431,            0.009406,            0.009406,            0.009406
                   5,            0.037861,            0.016927,           0.0015904,             0.78951,             0.82939,             0.84324,             0.54823,            0.028428,           0.0059677,          0.00048934,            0.009208,            0.009208,            0.009208
                   6,            0.035457,            0.016409,           0.0013407,             0.79639,             0.76487,              0.8065,             0.49785,            0.029405,           0.0060694,          0.00060834,             0.00901,             0.00901,             0.00901
                   7,            0.035166,             0.01622,           0.0012574,             0.81737,             0.84498,             0.86599,             0.55478,            0.026503,            0.005733,           0.0005093,            0.008812,            0.008812,            0.008812
                   8,            0.034098,            0.016141,           0.0012607,             0.78781,             0.81862,             0.84053,             0.55905,            0.027588,            0.005782,          0.00055287,            0.008614,            0.008614,            0.008614
                   9,            0.033603,            0.015741,          0.00097213,             0.81977,             0.85901,             0.87094,             0.59599,            0.025524,           0.0055596,          0.00039494,            0.008416,            0.008416,            0.008416
                  10,            0.032613,            0.015313,           0.0008817,             0.81234,             0.85583,             0.87029,             0.60269,            0.024685,           0.0053741,          0.00038555,            0.008218,            0.008218,            0.008218
                  11,            0.031913,            0.015096,          0.00087385,             0.83384,             0.88261,             0.87539,             0.58808,            0.025228,           0.0053969,          0.00029438,             0.00802,             0.00802,             0.00802
                  12,            0.031417,             0.01515,          0.00080303,             0.82829,               0.887,             0.87762,             0.60654,            0.024384,           0.0052678,          0.00032307,            0.007822,            0.007822,            0.007822
                  13,             0.03093,            0.014859,          0.00088712,             0.83417,             0.87073,             0.87304,             0.58595,            0.024673,           0.0052959,          0.00035471,            0.007624,            0.007624,            0.007624
                  14,            0.030224,            0.014727,          0.00070057,             0.76736,             0.85213,             0.86338,             0.59841,            0.024779,           0.0053006,          0.00078111,            0.007426,            0.007426,            0.007426
                  15,            0.030035,             0.01471,          0.00071576,             0.84128,              0.8843,             0.89225,             0.62483,            0.023197,           0.0051235,          0.00026665,            0.007228,            0.007228,            0.007228
                  16,            0.029739,            0.014381,          0.00066612,             0.85737,             0.89212,             0.88846,              0.6147,            0.024423,           0.0050393,           0.0002975,             0.00703,             0.00703,             0.00703
                  17,            0.029121,            0.014333,          0.00057522,             0.83858,             0.88708,              0.8879,             0.61759,            0.024284,           0.0050315,          0.00026784,            0.006832,            0.006832,            0.006832
                  18,            0.029066,            0.014482,          0.00063186,             0.82548,             0.87697,             0.88812,             0.62504,            0.023858,           0.0052232,          0.00025312,            0.006634,            0.006634,            0.006634
                  19,            0.028837,            0.014125,          0.00049273,             0.83639,             0.89092,             0.89262,             0.61451,            0.024002,           0.0051025,          0.00022844,            0.006436,            0.006436,            0.006436
                  20,            0.028348,             0.01389,          0.00056701,              0.8521,             0.90001,             0.90211,             0.62948,            0.022791,           0.0048923,          0.00018334,            0.006238,            0.006238,            0.006238
                  21,            0.028249,            0.013724,          0.00045435,             0.85598,             0.90607,             0.90471,             0.65312,            0.022555,           0.0049058,          0.00022491,             0.00604,             0.00604,             0.00604
                  22,            0.027914,            0.013804,           0.0005334,             0.87059,              0.8901,             0.89935,             0.64999,            0.022188,           0.0048717,          0.00019197,            0.005842,            0.005842,            0.005842
                  23,            0.027683,            0.013919,          0.00054876,             0.86929,             0.89472,             0.90415,             0.64693,            0.022509,           0.0049236,          0.00017158,            0.005644,            0.005644,            0.005644
                  24,            0.027378,            0.013488,          0.00042786,             0.85059,             0.91179,             0.90355,             0.64428,            0.022872,           0.0048327,          0.00019103,            0.005446,            0.005446,            0.005446
                  25,             0.02729,            0.013291,          0.00049546,             0.86241,             0.90306,              0.9043,             0.65515,            0.022456,           0.0047915,          0.00014447,            0.005248,            0.005248,            0.005248
                  26,            0.027047,            0.013356,          0.00040735,             0.85654,             0.89998,             0.90475,             0.65548,            0.022877,           0.0048564,          0.00017291,             0.00505,             0.00505,             0.00505
                  27,            0.026477,            0.013197,          0.00042287,             0.86983,             0.89479,             0.90541,              0.6499,            0.022742,           0.0048461,          0.00019748,            0.004852,            0.004852,            0.004852
                  28,             0.02629,             0.01291,           0.0002935,             0.85989,             0.90588,              0.9086,             0.63953,            0.022372,           0.0047842,          0.00015844,            0.004654,            0.004654,            0.004654
                  29,            0.025866,            0.013175,          0.00041774,             0.86282,             0.90885,             0.91023,             0.64053,            0.021845,           0.0047621,          0.00016022,            0.004456,            0.004456,            0.004456
                  30,            0.025824,            0.012989,          0.00037374,             0.87497,             0.90318,             0.91129,             0.65941,            0.022112,           0.0047041,          0.00015736,            0.004258,            0.004258,            0.004258
                  31,            0.025384,             0.01285,          0.00040749,             0.86545,             0.91488,             0.91261,             0.65337,            0.022197,           0.0047898,          0.00013722,             0.00406,             0.00406,             0.00406
                  32,            0.025482,            0.012971,          0.00035088,             0.86933,             0.91293,             0.91586,             0.67585,            0.021383,           0.0046944,          0.00010574,            0.003862,            0.003862,            0.003862
                  33,            0.025001,            0.012699,           0.0002405,             0.85526,             0.89974,             0.90936,             0.65937,            0.021431,           0.0047057,          9.5812e-05,            0.003664,            0.003664,            0.003664
                  34,            0.024996,            0.012714,          0.00030313,             0.86728,             0.91345,             0.91055,             0.67631,            0.021157,           0.0046695,          0.00012792,            0.003466,            0.003466,            0.003466
                  35,            0.024718,              0.0127,          0.00030533,             0.86038,             0.92562,             0.91675,             0.66546,            0.020939,           0.0046807,          9.8674e-05,            0.003268,            0.003268,            0.003268
                  36,              0.0247,            0.012505,          0.00027246,             0.86743,              0.9169,             0.91583,             0.67063,            0.021435,           0.0046897,          0.00010386,             0.00307,             0.00307,             0.00307
                  37,            0.024597,            0.012325,          0.00024507,             0.86849,             0.91478,             0.91404,              0.6717,            0.020882,            0.004637,          9.6003e-05,            0.002872,            0.002872,            0.002872
                  38,            0.024101,            0.012489,          0.00022589,             0.86927,             0.91157,             0.91517,             0.67747,             0.02106,           0.0045734,          8.2732e-05,            0.002674,            0.002674,            0.002674
                  39,            0.024102,            0.012121,          0.00019859,             0.87606,             0.90034,             0.90935,             0.67025,             0.02134,           0.0046473,          9.6531e-05,            0.002476,            0.002476,            0.002476
                  40,            0.023668,            0.012245,          0.00024623,             0.87131,             0.91041,             0.91279,             0.67091,            0.021166,           0.0045844,          8.0669e-05,            0.002278,            0.002278,            0.002278
                  41,            0.023652,             0.01229,          0.00022386,             0.86756,             0.92281,             0.91228,             0.66601,            0.021281,           0.0046349,          8.8568e-05,             0.00208,             0.00208,             0.00208
                  42,            0.023358,             0.01203,          0.00026355,             0.88919,              0.9189,             0.92222,              0.6766,            0.021007,           0.0046072,          7.3079e-05,            0.001882,            0.001882,            0.001882
                  43,            0.022942,            0.011947,          0.00018916,             0.87856,             0.91499,             0.92185,             0.68677,            0.021198,            0.004554,           7.767e-05,            0.001684,            0.001684,            0.001684
                  44,            0.022899,            0.011848,          0.00018396,             0.87208,             0.91506,             0.91828,             0.68361,            0.020942,           0.0045278,          7.0166e-05,            0.001486,            0.001486,            0.001486
                  45,            0.022767,             0.01172,          0.00017946,             0.87046,             0.90946,             0.91395,             0.68126,            0.020812,           0.0045419,          8.3297e-05,            0.001288,            0.001288,            0.001288
                  46,            0.022705,            0.011879,          0.00019943,             0.86814,              0.9175,             0.91738,             0.68376,            0.020888,           0.0045302,          6.2396e-05,             0.00109,             0.00109,             0.00109
                  47,            0.022149,            0.011663,          0.00017714,             0.87097,             0.92672,             0.91697,             0.69185,            0.020562,           0.0044952,          5.8372e-05,            0.000892,            0.000892,            0.000892
                  48,            0.022201,            0.011713,          0.00016827,             0.86891,             0.91899,             0.91603,             0.69117,            0.020657,           0.0045196,          5.7356e-05,            0.000694,            0.000694,            0.000694
                  49,            0.021947,             0.01141,          0.00019586,             0.87215,             0.92502,             0.91665,             0.68858,             0.02073,           0.0045328,          5.8997e-05,            0.000496,            0.000496,            0.000496
