               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081485,            0.024879,            0.022009,             0.76368,             0.39968,               0.453,             0.20559,            0.051994,            0.014616,           0.0047418,              0.0701,           0.0033222,           0.0033222
                   1,            0.062155,            0.024202,            0.006834,             0.83095,             0.47351,             0.54098,             0.29918,            0.047383,            0.012847,            0.003002,            0.039969,           0.0065237,           0.0065237
                   2,            0.059089,            0.023577,           0.0063737,             0.44385,              0.3468,             0.35813,             0.18283,            0.054367,            0.015931,            0.014798,           0.0097048,           0.0095933,           0.0095933
                   3,            0.056417,            0.022995,           0.0061703,             0.78433,             0.37505,             0.42035,             0.19625,            0.049057,             0.01395,           0.0039604,            0.009406,            0.009406,            0.009406
                   4,            0.053933,            0.023275,           0.0055421,             0.92618,             0.55266,             0.64447,             0.36751,            0.042707,            0.012285,           0.0017393,            0.009406,            0.009406,            0.009406
                   5,            0.052594,            0.022557,           0.0049234,             0.93279,             0.54816,             0.64535,             0.37483,            0.040634,            0.012328,           0.0025968,            0.009208,            0.009208,            0.009208
                   6,            0.051692,            0.022494,            0.004685,             0.70471,              0.5968,             0.63715,             0.40622,            0.041117,            0.012037,           0.0017802,             0.00901,             0.00901,             0.00901
                   7,             0.05049,            0.022267,           0.0041398,             0.70452,             0.62175,             0.65885,             0.38787,            0.038535,            0.012208,           0.0019392,            0.008812,            0.008812,            0.008812
                   8,            0.049313,            0.022165,            0.003987,             0.69478,             0.65299,             0.66724,             0.40972,            0.038319,             0.01171,           0.0010002,            0.008614,            0.008614,            0.008614
                   9,            0.048635,             0.02154,           0.0035108,             0.72869,             0.66504,             0.69354,             0.44515,             0.03573,            0.011494,           0.0012363,            0.008416,            0.008416,            0.008416
                  10,            0.047796,            0.021155,           0.0033594,              0.7796,             0.64939,             0.69181,             0.43269,            0.038046,            0.011406,             0.00087,            0.008218,            0.008218,            0.008218
                  11,            0.047802,            0.021215,           0.0034712,             0.71283,             0.66968,             0.69933,             0.45726,            0.036353,            0.011357,           0.0013345,             0.00802,             0.00802,             0.00802
                  12,            0.047631,            0.021011,           0.0030647,             0.73532,             0.67545,             0.71426,             0.44725,             0.03531,            0.011195,          0.00074562,            0.007822,            0.007822,            0.007822
                  13,            0.046949,            0.020985,           0.0031477,             0.72187,             0.67751,             0.69892,             0.44727,            0.035227,            0.011344,           0.0010905,            0.007624,            0.007624,            0.007624
                  14,            0.046414,            0.020804,             0.00315,             0.73055,              0.6967,             0.70909,              0.4602,            0.034643,            0.011111,          0.00095146,            0.007426,            0.007426,            0.007426
                  15,            0.046024,            0.020398,           0.0030613,             0.72356,             0.68191,             0.70652,             0.45339,            0.035043,            0.011086,          0.00099735,            0.007228,            0.007228,            0.007228
                  16,            0.045563,            0.020093,           0.0031658,             0.71656,               0.679,             0.71064,             0.45802,            0.035274,            0.011412,          0.00066967,             0.00703,             0.00703,             0.00703
                  17,            0.045153,            0.020703,           0.0031375,             0.72996,             0.69768,             0.71701,             0.46841,             0.03448,            0.010866,          0.00071964,            0.006832,            0.006832,            0.006832
                  18,            0.045069,            0.020392,           0.0025352,             0.67871,             0.71545,             0.71525,             0.48333,            0.033317,            0.011049,          0.00067473,            0.006634,            0.006634,            0.006634
                  19,             0.04526,            0.020505,           0.0028996,             0.71919,             0.71554,             0.72893,             0.49735,            0.033546,            0.010893,           0.0010443,            0.006436,            0.006436,            0.006436
                  20,            0.044284,            0.020175,           0.0023567,             0.71603,             0.70403,             0.71784,             0.47274,            0.033614,            0.010886,          0.00077694,            0.006238,            0.006238,            0.006238
                  21,              0.0442,            0.020233,            0.002407,             0.72511,             0.71612,             0.72736,             0.46868,            0.033869,            0.010967,          0.00085631,             0.00604,             0.00604,             0.00604
                  22,            0.044302,            0.020292,           0.0026936,             0.73539,             0.72142,             0.73688,             0.48273,            0.033227,            0.010631,          0.00065698,            0.005842,            0.005842,            0.005842
                  23,            0.043647,            0.019853,            0.002211,             0.72472,             0.72764,              0.7366,             0.50698,            0.032616,            0.010658,          0.00045786,            0.005644,            0.005644,            0.005644
                  24,            0.043437,            0.019394,           0.0024739,             0.74355,             0.73218,             0.74625,             0.50771,            0.032359,            0.010603,          0.00091678,            0.005446,            0.005446,            0.005446
                  25,            0.043484,             0.01988,           0.0021266,             0.74315,             0.72734,             0.74458,             0.50097,            0.031577,            0.010717,          0.00050519,            0.005248,            0.005248,            0.005248
                  26,            0.042526,            0.018942,           0.0021022,             0.72813,             0.75604,             0.74454,             0.50807,            0.032243,            0.010416,          0.00036365,             0.00505,             0.00505,             0.00505
                  27,            0.042703,            0.019087,           0.0021718,             0.74615,             0.72997,             0.74434,              0.4894,            0.032636,            0.010543,          0.00054748,            0.004852,            0.004852,            0.004852
                  28,             0.04209,            0.019156,           0.0020884,             0.72372,             0.73394,             0.74097,             0.49314,            0.032579,            0.010642,           0.0004379,            0.004654,            0.004654,            0.004654
                  29,            0.041834,            0.019031,           0.0019875,             0.72294,             0.73183,             0.73411,             0.50806,            0.031113,            0.010516,          0.00042235,            0.004456,            0.004456,            0.004456
                  30,            0.041986,            0.018744,            0.001859,             0.73184,             0.74698,             0.74346,             0.51929,            0.031316,            0.010418,          0.00052377,            0.004258,            0.004258,            0.004258
                  31,            0.041666,            0.018848,           0.0019003,             0.74408,             0.74068,             0.74365,             0.51816,            0.031535,            0.010436,          0.00047819,             0.00406,             0.00406,             0.00406
                  32,             0.04128,            0.018785,           0.0018285,             0.74337,             0.74251,             0.75018,             0.50791,            0.030782,            0.010263,          0.00046518,            0.003862,            0.003862,            0.003862
                  33,            0.041174,             0.01876,           0.0019363,              0.7329,             0.75181,             0.74803,             0.51249,            0.031132,            0.010348,          0.00066283,            0.003664,            0.003664,            0.003664
                  34,            0.041076,            0.018999,           0.0016545,             0.75233,             0.75181,             0.75154,             0.52254,            0.030742,            0.010187,          0.00042746,            0.003466,            0.003466,            0.003466
                  35,            0.040859,            0.018596,           0.0018988,             0.74663,             0.74352,             0.75016,             0.52916,            0.030743,            0.010326,          0.00041229,            0.003268,            0.003268,            0.003268
                  36,            0.040765,            0.018454,           0.0017811,             0.73076,             0.75492,              0.7532,             0.52387,            0.030576,            0.010225,          0.00030922,             0.00307,             0.00307,             0.00307
                  37,            0.039777,            0.018298,           0.0018172,             0.73847,             0.76283,             0.75403,             0.53532,             0.03028,            0.010176,          0.00056036,            0.002872,            0.002872,            0.002872
                  38,            0.040187,            0.018364,           0.0018339,             0.74221,             0.76267,             0.76115,             0.51143,            0.030629,            0.010267,          0.00037751,            0.002674,            0.002674,            0.002674
                  39,            0.040381,             0.01831,           0.0017147,             0.75847,               0.748,             0.75786,              0.5206,            0.030512,            0.010253,          0.00035276,            0.002476,            0.002476,            0.002476
                  40,            0.039463,            0.018195,           0.0016865,             0.75485,              0.7529,             0.75505,             0.54237,            0.029744,            0.010052,          0.00036277,            0.002278,            0.002278,            0.002278
                  41,            0.039095,            0.018033,           0.0017522,             0.75724,              0.7592,             0.75952,             0.54141,            0.029734,            0.010104,          0.00032837,             0.00208,             0.00208,             0.00208
                  42,               0.039,            0.017868,           0.0015556,             0.74681,             0.76271,             0.75799,             0.52589,            0.029993,            0.010083,          0.00035527,            0.001882,            0.001882,            0.001882
                  43,            0.038965,            0.018147,           0.0015324,             0.75241,             0.76142,             0.76172,             0.53842,             0.02986,            0.010022,          0.00027525,            0.001684,            0.001684,            0.001684
                  44,            0.039297,            0.018031,             0.00165,             0.75465,             0.77048,             0.76435,             0.54122,            0.029805,            0.010055,          0.00028883,            0.001486,            0.001486,            0.001486
                  45,             0.03861,            0.017902,           0.0016236,             0.74964,             0.77261,             0.76611,             0.53548,             0.02965,            0.010051,          0.00025119,            0.001288,            0.001288,            0.001288
                  46,            0.038439,            0.017818,           0.0015552,              0.7676,             0.76864,               0.769,              0.5335,            0.029833,           0.0099638,          0.00032887,             0.00109,             0.00109,             0.00109
                  47,            0.038412,            0.018022,           0.0015862,             0.76026,             0.76125,             0.76341,             0.54317,            0.029411,             0.01013,          0.00034609,            0.000892,            0.000892,            0.000892
                  48,            0.038353,            0.017791,           0.0014948,             0.75946,             0.76939,             0.76594,             0.54416,            0.029318,            0.009984,           0.0003263,            0.000694,            0.000694,            0.000694
                  49,            0.037488,            0.017458,           0.0015369,             0.75972,             0.76982,             0.76549,             0.53777,             0.02932,            0.010033,          0.00037307,            0.000496,            0.000496,            0.000496
